"file","link1","link2","link3","link4","link5","link6","link7","link8","link9","link10","link11","link12","link13","link14","link15","link16","link17","link18","n_links"
"events/events/_event_template.qmd","https://goo.gl/maps/xyz","https://www.pretix.osc.lmu.de/lmu-osc/swc-20250324-Hum/","https://lmu-osc.github.io/introduction-to-renv/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"events/events/2018-01-01-open-science-medical-science.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2018-10-01-crashkurs-open-science.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2018-12-05-responsibility-consequences.qmd","https://www.ibe.med.uni-muenchen.de/index.html","https://www.stratos-initiative.org/","https://github.com/Bioconductor/EuroBioc2018","https://doi.org/10.17226/13297","https://www.nationalacademies.org/projects/IOM-HCS-10-06/publication/13297","https://www.uniklinik-freiburg.de/imbi/mitarbeiter.html?imbiuser=wfs","https://statistik.tu-dortmund.de/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"events/events/2018-12-14-paywall-business-scholarship.qmd","https://leibniz-psychology.org/","https://paywallthemovie.com/","https://www.stat.lmu.de/stablab/de/team/kontaktseite/sabine-hoffmann-1b1ce4c9.html","https://www.youtube.com/watch?v=YaHlcwyn2Jk&amp;feature=youtu.be","https://www.youtube.com/watch?v=YaHlcwyn2Jk&amp;feature=youtu.be","https://leibniz-psychology.org/","https://www.en.ub.uni-muenchen.de/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"events/events/2019-02-12-good-scientific-practices.qmd","https://gsparmed.wixsite.com/website","https://terminplaner4.dfn.de/oscgsp","https://terminplaner4.dfn.de/oscgsp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"events/events/2019-02-18-privacy-open-data.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2019-04-01-wissenschaftliches-arbeiten-medizin.qmd","https://terminplaner4.dfn.de/qRxciPo8sMUQPb7g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"events/events/2019-06-13-context-concerns-measures.qmd","https://www.ilr.cornell.edu/labor-dynamics-institute","https://www.aeaweb.org/","https://www.vilhuber.com/lars/","https://www.vilhuber.com/lars","https://rationality-and-competition.de/","https://rationality-and-competition.de/","https://www.ifo.de/en/reseach/lmu-ifo-economics-business-data-center","https://www.ifo.de/en/reseach/lmu-ifo-economics-business-data-center","https://www.osc.uni-muenchen.de/index.html","https://www.osc.uni-muenchen.de/","https://www.cas.lmu.de/en/programs/cas-research-focuses/index.html","https://www.en.cas.uni-muenchen.de/research_focus/evidence_praxis/index.html","https://doi.org/10.5281/zenodo.3245369","https://doi.org/10.5281/zenodo.3245369","https://labordynamicsinstitute.github.io/replication-tutorial-2019/#/","https://labordynamicsinstitute.github.io/replication-tutorial-2019/#/","https://labordynamicsinstitute.github.io/computing4economists/","https://labordynamicsinstitute.github.io/computing4economists/",18
"events/events/2019-11-04-transparency-translational-impact.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2019-11-25-open-science-promotion.qmd","https://www.graduatecenter.uni-muenchen.de/veranstaltungen/kurzbuendig/open_science/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"events/events/2019-11-28-open-science-bottom-up.qmd","https://psyfako.org/","https://fit4rri.eu/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"events/events/2019-12-18-open-science-discussion-journal-club.qmd","https://doi.org/10.1371/journal.pmed.0020124","https://doi.org/10.1371/journal.pmed.0020124","https://www.lmu.de/psy/de/studium/fachschaften-studierendenvertretung/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"events/events/2020-01-20-funding-options-requirements.qmd","https://www.en.ub.uni-muenchen.de/homepage/index.html","https://www.lmu.de/en/research/research-services/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"events/events/2020-01-29-open-science-discussion-journal-club.qmd","https://doi.org/10.1371/journal.pmed.0020124","https://doi.org/10.1371/journal.pmed.0020124","https://doi.org/10.1038/s41562-016-0021","https://doi.org/10.1038/s41562-016-0021","https://www.lmu.de/psy/de/studium/fachschaften-studierendenvertretung/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"events/events/2020-02-05-harmonic-mean-chi-squared-test.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2020-02-06-replication-experiments-design.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2020-05-14-corona-forschung-zuverlassigkeit.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2020-07-02-open-science-sharing-practical.qmd","https://www.youtube.com/channel/UCEFq307_Zijcmw1Xto-eqeg","https://lmu-munich.zoom.us/j/93265169786?pwd=ZE5xLzhnNGFoRmx0WjRFRHh0VWRTZz09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"events/events/2020-12-04-corona-and-open-science.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2021-04-22-lmu-funding-requirements-services.qmd","https://www.lmu.de/en/research/research-services/index.html","https://www.en.ub.uni-muenchen.de/homepage/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"events/events/2021-04-29-clinical-studies-publication.qmd","https://www.transparimed.org/","https://www.lmu-klinikum.de/innere-medizin-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"events/events/2021-06-01-philosophy-methodology-medicine.qmd","https://blogs.kent.ac.uk/wilde/","https://www.kent.ac.uk/philosophy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"events/events/2021-06-01-prediction-registration-replication.qmd","https://www.taisukeimai.com/cas_workshop_2021/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"events/events/2021-07-08-institutional-incentive-reward-system.qmd","https://www.bihealth.org/de/translation/innovationstreiber/quest-center/teams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"events/events/2021-07-09-good-research-career-impact.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2021-09-29-loss-of-confidence-project.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2021-11-10-reproducible-workflow-tools.qmd","https://terminplaner4.dfn.de/cyRX2UvyLwasfO3S","https://www.teaguehenry.com/strings-not-factors/2021/2/21/eight-principles-of-good-data-management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"events/events/2021-11-16-german-reproducibility-day.qmd","https://reproducibilitynetwork.de/","https://gfz-potsdam-de.zoom.us/meeting/register/tJMocuiqrTgtH9dFDk7lSZ8m-mLp8c3rEpZR","https://gfz-potsdam-de.zoom.us/meeting/register/tJMocuiqrTgtH9dFDk7lSZ8m-mLp8c3rEpZR","https://reproducibilitynetwork.de/germanreproday/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"events/events/2022-03-08-wunsch-und-wirklichkeit.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-05-23-oxford-open-research-survey.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-06-08-open-access.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-06-10-phacking-countermeasures.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-06-20-paper-mills-fake-science-industrial.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-07-01-science-communication-challenges.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-07-08-foster-open-science-university.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-07-22-qrps-students-curriculum-update.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-07-29-theory-development-qrps-response.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-09-12-git-basic-training.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-09-22-git-basic-training.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-09-27-crash-course-open-science.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"events/events/2022-10-14-advanced-power-analyses.qmd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
